filename,width,height,class,x1,y1,x2,y2
7046.jpg,282,228,1,36,180,318,408
78.jpg,743,599,1,29,1,772,600
14182.jpg,250,240,1,11,255,261,495
15821.jpg,293,294,1,295,142,588,436
15969.jpg,211,178,1,405,168,616,346
14642.jpg,228,232,1,200,182,428,414
21.jpg,448,280,1,8,5,456,285
14115.jpg,202,204,1,138,208,340,412
14799.jpg,220,218,1,52,196,272,414
13999.jpg,296,239,1,50,161,346,400
13379.jpg,164,137,1,0,126,164,263
14309.jpg,273,254,1,505,120,778,374
4930.jpg,168,298,1,0,140,168,438
13775.jpg,210,191,1,0,169,210,360
13787.jpg,183,150,1,0,155,183,305
15189.jpg,242,186,1,43,128,285,314
15749.jpg,208,205,1,30,72,238,277
16674.jpg,221,208,1,16,193,237,401
15832.jpg,208,179,1,28,267,236,446
10634.jpg,357,435,1,0,0,357,435
3.jpg,241,300,1,2,110,243,410
13.jpg,344,371,1,0,109,344,480
14025.jpg,261,275,1,0,236,261,511
13992.jpg,250,186,1,328,294,578,480
15803.jpg,235,265,1,0,161,235,426
52.jpg,302,286,1,198,57,500,343
89.jpg,333,298,1,30,284,363,582
5073.jpg,206,188,1,0,187,206,375
15041.jpg,233,206,1,0,58,233,264
16600.jpg,215,212,1,383,193,598,405
14388.jpg,200,222,1,0,212,200,434
12081.jpg,333,275,1,0,225,333,500
4.jpg,286,299,1,0,237,286,536
14595.jpg,101,108,1,1,34,102,142
12245.jpg,212,217,1,0,106,212,323
13389.jpg,364,292,1,0,180,364,472
11732.jpg,186,171,1,305,170,491,341
20.jpg,457,388,1,0,154,457,542
45.jpg,357,337,1,43,16,400,353
16669.jpg,212,193,1,40,185,252,378
13731.jpg,122,219,1,0,128,122,347
5101.jpg,244,281,1,0,180,244,461
14.jpg,240,263,1,0,337,240,600
14495.jpg,138,142,1,0,440,138,582
14495.jpg,100,107,1,20,8,120,115
12209.jpg,132,232,1,0,39,132,271
14699.jpg,276,258,1,12,222,288,480
14921.jpg,184,192,1,88,108,272,300
14609.jpg,268,244,1,503,306,771,550
14881.jpg,156,168,1,32,236,188,404
4300.jpg,149,124,1,112,98,261,222
73.jpg,555,400,1,113,82,668,482
15534.jpg,264,217,1,87,0,351,217
15293.jpg,188,192,1,16,206,204,398
9366.jpg,390,316,1,31,0,421,316
7337.jpg,100,189,1,400,133,500,322
13333.jpg,241,206,1,45,144,286,350
13329.jpg,188,219,1,305,156,493,375
29.jpg,563,479,1,1,1,564,480
15311.jpg,175,150,1,52,162,227,312
14698.jpg,212,182,1,26,224,238,406
4985.jpg,81,180,1,417,78,498,258
12923.jpg,268,251,1,5,70,273,321
13903.jpg,96,104,1,0,130,96,234
11575.jpg,183,176,1,36,151,219,327
13947.jpg,361,315,1,0,85,361,400
5013.jpg,132,236,1,0,128,132,364
13782.jpg,194,171,1,74,149,268,320
14341.jpg,252,188,1,0,290,252,478
4004.jpg,73,64,1,26,90,99,154
14411.jpg,215,145,1,326,75,541,220
80.jpg,707,590,1,52,10,759,600
27.jpg,239,216,1,355,23,594,239
13233.jpg,109,104,1,1,136,110,240
15154.jpg,202,200,1,68,164,270,364
13262.jpg,292,268,1,26,4,318,272
14906.jpg,216,266,1,185,0,401,266
14890.jpg,271,250,1,390,311,661,561
15537.jpg,236,252,1,362,183,598,435
9135.jpg,285,294,1,30,81,315,375
15393.jpg,180,203,1,0,189,180,392
9056.jpg,448,380,1,17,121,465,501
14668.jpg,195,165,1,5,132,200,297
16556.jpg,219,198,1,21,245,240,443
14036.jpg,218,210,1,55,25,273,235
15560.jpg,282,282,1,23,135,305,417
15545.jpg,243,255,1,0,111,243,366
11119.jpg,420,360,1,0,0,420,360
14354.jpg,253,277,1,0,323,253,600
14372.jpg,233,255,1,238,316,471,571
15687.jpg,225,231,1,16,187,241,418
13774.jpg,192,164,1,4,4,196,168
11064.jpg,228,201,1,0,130,228,331
9340.jpg,374,342,1,13,18,387,360
11039.jpg,426,345,1,18,0,444,345
15310.jpg,204,177,1,298,3,502,180
30.jpg,196,163,1,7,87,203,250
15259.jpg,126,105,1,261,15,387,120
13747.jpg,308,240,1,0,144,308,384
4956.jpg,191,93,1,42,0,233,93
14061.jpg,323,306,1,0,250,323,556
13693.jpg,312,279,1,66,96,378,375
13736.jpg,186,138,1,444,6,630,144
13764.jpg,194,168,1,22,52,216,220
72.jpg,362,351,1,0,218,362,569
34.jpg,440,407,1,76,41,516,448
14759.jpg,295,258,1,106,88,401,346
13705.jpg,194,177,1,4,176,198,353
15921.jpg,125,117,1,433,8,558,125
14910.jpg,224,196,1,0,124,224,320
12082.jpg,334,313,1,36,283,370,596
66.jpg,640,698,1,0,39,640,737
16000.jpg,286,276,1,286,145,572,421
14746.jpg,560,480,1,20,0,580,480
15176.jpg,187,185,1,0,150,187,335
5512.jpg,133,123,1,20,102,153,225
13763.jpg,256,240,1,16,228,272,468
14329.jpg,268,241,1,483,29,751,270
13991.jpg,277,265,1,63,371,340,636
33.jpg,207,185,1,10,133,217,318
16050.jpg,301,274,1,1,173,302,447
16263.jpg,190,172,1,368,190,558,362
16614.jpg,279,236,1,2,170,281,406
65.jpg,281,302,1,0,155,281,457
14526.jpg,333,300,1,0,296,333,596
11156.jpg,140,104,1,13,28,153,132
15559.jpg,255,222,1,153,0,408,222
13734.jpg,182,154,1,104,206,286,360
4305.jpg,83,67,1,33,66,116,133
4934.jpg,75,86,1,0,87,75,173
31.jpg,221,169,1,12,230,233,399
14289.jpg,400,354,1,5,126,405,480
13695.jpg,200,205,1,43,325,243,530
14923.jpg,278,291,1,5,220,283,511
96.jpg,337,283,1,29,266,366,549
14817.jpg,307,280,1,61,520,368,800
13273.jpg,45,31,1,281,144,326,175
13985.jpg,230,245,1,0,157,230,402
15892.jpg,185,162,1,406,126,591,288
13723.jpg,242,175,1,114,209,356,384
14835.jpg,226,190,1,264,22,490,212
44.jpg,408,344,1,42,11,450,355
14023.jpg,243,243,1,475,295,718,538
14425.jpg,93,66,1,65,6,158,72
16615.jpg,250,225,1,6,156,256,381
14813.jpg,228,246,1,412,108,640,354
14588.jpg,353,350,1,3,175,356,525
14666.jpg,302,256,1,52,224,354,480
11459.jpg,192,178,1,18,126,210,304
14267.jpg,124,102,1,48,58,172,160
10640.jpg,432,333,1,30,0,462,333
9106.jpg,360,327,1,0,102,360,429
15300.jpg,228,156,1,222,0,450,156
14015.jpg,209,191,1,6,245,215,436
13164.jpg,99,112,1,0,0,99,112
15895.jpg,264,183,1,276,0,540,183
11997.jpg,198,171,1,267,139,465,310
16124.jpg,142,126,1,80,200,222,326
14812.jpg,234,240,1,56,240,290,480
4972.jpg,136,127,1,0,95,136,222
7145.jpg,188,218,1,0,75,188,293
13958.jpg,161,171,1,256,349,417,520
13948.jpg,132,88,1,67,152,199,240
10621.jpg,462,360,1,16,0,478,360
11184.jpg,132,132,1,32,178,164,310
12095.jpg,178,169,1,40,164,218,333
16287.jpg,235,418,1,52,27,287,445
16279.jpg,359,162,1,201,31,560,193
14751.jpg,574,480,1,14,0,588,480
19.jpg,148,191,1,352,135,500,326
11568.jpg,148,149,1,3,178,151,327
36.jpg,394,320,1,36,25,430,345
15357.jpg,214,238,1,170,170,384,408
11138.jpg,365,313,1,55,12,420,325
9308.jpg,356,291,1,49,22,405,313
5087.jpg,247,201,1,253,50,500,251
14626.jpg,230,250,1,12,186,242,436
14237.jpg,119,100,1,27,60,146,160
14152.jpg,218,214,1,174,266,392,480
13327.jpg,207,210,1,244,165,451,375
14124.jpg,222,212,1,140,244,362,456
9218.jpg,382,292,1,33,36,415,328
11593.jpg,197,179,1,268,181,465,360
13776.jpg,190,179,1,0,110,190,289
13888.jpg,106,140,1,0,80,106,220
15563.jpg,182,195,1,0,0,182,195
4520.jpg,69,32,1,13,61,82,93
4953.jpg,269,109,1,28,176,297,285
14006.jpg,112,116,1,170,98,282,214
14420.jpg,127,136,1,15,104,142,240
12169.jpg,80,129,1,176,45,256,174
14002.jpg,280,186,1,8,292,288,478
10586.jpg,336,303,1,19,69,355,372
16643.jpg,236,214,1,25,196,261,410
13960.jpg,214,196,1,194,206,408,402
41.jpg,396,354,1,0,80,396,434
5044.jpg,168,242,1,0,160,168,402
15771.jpg,379,392,1,221,43,600,435
13676.jpg,595,515,1,113,0,708,515
14880.jpg,188,180,1,420,22,608,202
15842.jpg,409,407,1,191,43,600,450
85.jpg,254,215,1,48,249,302,464
22.jpg,190,175,1,310,200,500,375
79.jpg,661,542,1,67,0,728,542
9320.jpg,375,292,1,51,42,426,334
15521.jpg,289,265,1,301,184,590,449
15301.jpg,196,220,1,306,200,502,420
15506.jpg,195,210,1,0,218,195,428
14449.jpg,291,269,1,45,201,336,470
11737.jpg,121,94,1,1,144,122,238
13989.jpg,78,82,1,0,114,78,196
97.jpg,305,290,1,89,278,394,568
6476.jpg,228,214,1,4,0,232,214
10630.jpg,432,324,1,45,12,477,336
14012.jpg,236,218,1,0,310,236,528
11167.jpg,153,129,1,288,45,441,174
14235.jpg,134,94,1,43,66,177,160
14805.jpg,270,260,1,153,2,423,262
9094.jpg,348,297,1,88,24,436,321
14644.jpg,218,192,1,76,10,294,202
14885.jpg,280,248,1,56,235,336,483
14003.jpg,165,135,1,85,265,250,400
15370.jpg,251,260,1,0,316,251,576
15683.jpg,199,153,1,16,20,215,173
14173.jpg,402,186,1,50,294,452,480
16690.jpg,296,257,1,12,200,308,457
15507.jpg,215,237,1,20,67,235,304
13815.jpg,236,242,1,275,303,511,545
13182.jpg,116,114,1,0,104,116,218
15657.jpg,234,223,1,356,30,590,253
1.jpg,370,343,1,0,143,370,486
58.jpg,302,304,1,0,164,302,468
5158.jpg,314,267,1,61,227,375,494
13748.jpg,168,196,1,4,188,172,384
10740.jpg,356,376,1,1,48,357,424
13740.jpg,206,240,1,0,36,206,276
14728.jpg,90,66,1,65,6,155,72
14402.jpg,205,220,1,50,202,255,422
5109.jpg,188,216,1,0,168,188,384
15134.jpg,163,208,1,0,218,163,426
14868.jpg,332,284,1,34,182,366,466
4938.jpg,125,140,1,0,168,125,308
13646.jpg,511,148,1,0,256,511,404
13781.jpg,238,244,1,0,108,238,352
15644.jpg,209,206,1,83,26,292,232
15797.jpg,253,247,1,0,83,253,330
14522.jpg,238,248,1,0,153,238,401
15885.jpg,179,172,1,412,143,591,315
5074.jpg,230,88,1,282,80,512,168
16012.jpg,238,178,1,35,27,273,205
14822.jpg,258,186,1,0,134,258,320
15555.jpg,227,225,1,228,223,455,448
13806.jpg,130,130,1,110,190,240,320
5170.jpg,108,73,1,0,1,108,74
5170.jpg,191,31,1,103,0,294,31
11197.jpg,144,143,1,256,187,400,330
4936.jpg,92,80,1,60,21,152,101
4988.jpg,126,188,1,0,140,126,328
37.jpg,182,206,1,266,18,448,224
5077.jpg,64,104,1,256,114,320,218
14357.jpg,235,307,1,0,241,235,548
91.jpg,303,236,1,111,288,414,524
15440.jpg,208,176,1,24,101,232,277
16260.jpg,267,160,1,201,222,468,382
11649.jpg,127,135,1,0,189,127,324
13236.jpg,112,98,1,2,102,114,200
11201.jpg,381,307,1,40,0,421,307
14048.jpg,265,275,1,0,251,265,526
16061.jpg,188,167,1,388,156,576,323
14074.jpg,200,213,1,35,355,235,568
11159.jpg,367,297,1,60,15,427,312
14899.jpg,246,211,1,4,183,250,394
14263.jpg,100,83,1,1,77,101,160
14445.jpg,327,252,1,41,388,368,640
14600.jpg,115,136,1,168,102,283,238
14171.jpg,302,228,1,166,252,468,480
5127.jpg,141,99,1,259,1,400,100
13988.jpg,190,104,1,531,1,721,105
14239.jpg,114,80,1,56,76,170,156
14584.jpg,215,216,1,333,50,548,266
14069.jpg,207,180,1,106,298,313,478
28.jpg,169,128,1,11,135,180,263
15930.jpg,293,277,1,0,133,293,410
13749.jpg,232,181,1,120,152,352,333
14596.jpg,122,91,1,76,148,198,239
15424.jpg,360,260,1,240,129,600,389
14797.jpg,262,246,1,28,12,290,258
16695.jpg,319,307,1,6,146,325,453
13779.jpg,210,190,1,14,168,224,358
14451.jpg,327,331,1,0,306,327,637
13827.jpg,247,265,1,521,298,768,563
14987.jpg,210,202,1,408,210,618,412
9222.jpg,228,249,1,21,102,249,351
51.jpg,500,375,1,0,0,500,375
9209.jpg,360,327,1,0,69,360,396
14093.jpg,255,184,1,0,211,255,395
13752.jpg,78,156,1,14,164,92,320
15524.jpg,272,264,1,30,0,302,264
18.jpg,203,199,1,267,158,470,357
13297.jpg,290,235,1,0,140,290,375
25.jpg,221,210,1,228,270,449,480
15165.jpg,273,287,1,0,154,273,441
13733.jpg,208,164,1,338,198,546,362
16191.jpg,249,224,1,12,206,261,430
10628.jpg,477,357,1,3,0,480,357
13701.jpg,192,161,1,0,142,192,303
13898.jpg,82,76,1,14,164,96,240
15358.jpg,176,166,1,90,119,266,285
13859.jpg,280,248,1,0,232,280,480
13639.jpg,245,247,1,24,189,269,436
5115.jpg,192,174,1,0,168,192,342
15924.jpg,211,182,1,0,164,211,346
15766.jpg,264,243,1,286,207,550,450
64.jpg,600,450,1,0,0,600,450
71.jpg,753,600,1,47,0,800,600
13757.jpg,164,204,1,0,240,164,444
11134.jpg,360,400,1,0,15,360,415
11331.jpg,460,269,1,15,70,475,339
14519.jpg,355,317,1,0,243,355,560
13331.jpg,132,142,1,368,131,500,273
15973.jpg,239,171,1,3,189,242,360
14828.jpg,250,284,1,0,142,250,426
14577.jpg,290,300,1,66,293,356,593
11686.jpg,239,269,1,59,154,298,423
38.jpg,167,142,1,270,240,437,382
13745.jpg,230,194,1,410,124,640,318
11165.jpg,294,265,1,94,51,388,316
61.jpg,228,193,1,0,122,228,315
11862.jpg,416,412,1,15,176,431,588
7321.jpg,226,176,1,0,96,226,272
81.jpg,266,235,1,10,169,276,404
50.jpg,298,219,1,195,181,493,400
13735.jpg,264,262,1,376,188,640,450
70.jpg,480,360,1,0,0,480,360
7293.jpg,180,246,1,0,22,180,268
16685.jpg,210,173,1,56,5,266,178
13780.jpg,180,112,1,264,5,444,117
13696.jpg,624,173,1,96,238,720,411
4316.jpg,148,148,1,2,150,150,298
14505.jpg,232,248,1,76,228,308,476
15505.jpg,150,150,1,320,21,470,171
11094.jpg,405,360,1,24,0,429,360
14348.jpg,300,279,1,500,161,800,440
14348.jpg,289,128,1,241,0,530,128
90.jpg,316,278,1,30,300,346,578
14082.jpg,188,202,1,28,242,216,444
93.jpg,294,281,1,37,236,331,517
23.jpg,252,188,1,0,62,252,250
10666.jpg,346,319,1,9,60,355,379
13414.jpg,155,164,1,0,126,155,290
14240.jpg,123,95,1,14,65,137,160
15479.jpg,253,252,1,0,198,253,450
11098.jpg,341,294,1,52,39,393,333
11161.jpg,136,105,1,15,31,151,136
12086.jpg,261,185,1,45,316,306,501
10572.jpg,360,371,1,0,49,360,420
15335.jpg,218,214,1,278,258,496,472
14510.jpg,252,246,1,8,192,260,438
9117.jpg,357,304,1,69,24,426,328
4294.jpg,92,84,1,58,138,150,222
15946.jpg,248,177,1,83,180,331,357
11063.jpg,393,343,1,69,12,462,355
14619.jpg,204,228,1,28,236,232,464
98.jpg,288,252,1,16,152,304,404
14353.jpg,415,345,1,20,255,435,600
14409.jpg,240,235,1,21,215,261,450
16701.jpg,265,263,1,364,197,629,460
12184.jpg,188,246,1,0,154,188,400
9.jpg,268,244,1,2,226,270,470
14834.jpg,194,182,1,80,248,274,430
14920.jpg,273,273,1,34,80,307,353
14920.jpg,158,222,1,292,173,450,395
15414.jpg,210,211,1,42,172,252,383
59.jpg,286,251,1,354,169,640,420
16641.jpg,266,227,1,5,196,271,423
13847.jpg,253,208,1,15,162,268,370
4331.jpg,155,157,1,7,162,162,319
14077.jpg,247,225,1,36,291,283,516
15286.jpg,207,162,1,371,125,578,287
11689.jpg,348,355,1,0,236,348,591
15104.jpg,190,180,1,2,165,192,345
13690.jpg,273,237,1,0,273,273,510
6.jpg,369,272,1,0,38,369,310
88.jpg,291,253,1,49,307,340,560
13645.jpg,728,240,1,49,286,777,526
16034.jpg,261,221,1,0,110,261,331
14689.jpg,306,222,1,0,140,306,362
13822.jpg,203,206,1,458,170,661,376
14818.jpg,256,280,1,0,53,256,333
11576.jpg,187,164,1,252,19,439,183
11694.jpg,375,356,1,15,215,390,571
10618.jpg,402,354,1,31,0,433,354
9335.jpg,336,302,1,63,43,399,345
15542.jpg,230,179,1,116,201,346,380
11440.jpg,309,267,1,63,3,372,270
15085.jpg,220,91,1,211,0,431,91
10.jpg,407,312,1,71,16,478,328
16644.jpg,295,255,1,302,70,597,325
14104.jpg,182,182,1,136,294,318,476
15894.jpg,213,225,1,0,157,213,382
14621.jpg,216,222,1,80,246,296,468
13276.jpg,32,132,1,608,264,640,396
4931.jpg,204,234,1,436,156,640,390
13406.jpg,259,192,1,4,15,263,207
15179.jpg,145,121,1,378,182,523,303
15246.jpg,203,197,1,7,161,210,358
16557.jpg,283,253,1,8,193,291,446
15217.jpg,189,198,1,83,101,272,299
14203.jpg,244,216,1,128,264,372,480
16033.jpg,335,298,1,210,152,545,450
13933.jpg,344,298,1,0,182,344,480
14663.jpg,222,218,1,132,262,354,480
92.jpg,295,263,1,42,321,337,584
14346.jpg,238,163,1,273,248,511,411
11352.jpg,180,192,1,1,168,181,360
15373.jpg,198,170,1,0,121,198,291
11180.jpg,165,152,1,0,172,165,324
9233.jpg,480,360,2,0,0,480,360
102.jpg,240,180,2,0,0,240,180
133.jpg,200,150,2,0,0,200,150
123.jpg,109,82,2,9,20,118,102
186.jpg,505,350,2,295,166,800,516
10897.jpg,348,352,2,6,96,354,448
153.jpg,304,191,2,0,31,304,222
150.jpg,293,253,2,0,32,293,285
15146.jpg,596,800,2,0,0,596,800
189.jpg,208,150,2,0,36,208,186
168.jpg,165,135,2,0,30,165,165
127.jpg,640,533,2,0,0,640,533
117.jpg,200,150,2,0,0,200,150
122.jpg,414,257,2,0,80,414,337
126.jpg,206,172,2,29,113,235,285
140.jpg,465,349,2,0,0,465,349
156.jpg,602,336,2,158,209,760,545
164.jpg,204,141,2,6,17,210,158
15650.jpg,231,160,2,27,152,258,312
10578.jpg,251,421,2,73,1,324,422
105.jpg,176,122,2,0,0,176,122
15652.jpg,301,306,2,295,101,596,407
109.jpg,216,142,2,3,12,219,154
154.jpg,304,196,2,0,19,304,215
121.jpg,225,163,2,25,0,250,163
103.jpg,394,231,2,3,70,397,301
130.jpg,260,293,2,0,56,260,349
173.jpg,198,147,2,5,3,203,150
148.jpg,177,131,2,0,0,177,131
15481.jpg,490,409,2,41,33,531,442
108.jpg,112,91,2,0,14,112,105
149.jpg,331,282,2,43,20,374,302
165.jpg,441,271,2,9,28,450,299
158.jpg,320,258,2,22,51,342,309
185.jpg,122,86,2,0,0,122,86
15093.jpg,570,369,2,28,27,598,396
174.jpg,187,156,2,21,6,208,162
113.jpg,210,280,2,0,0,210,280
137.jpg,177,135,2,3,0,180,135
176.jpg,201,148,2,0,0,201,148
11259.jpg,311,277,2,76,63,387,340
180.jpg,308,178,2,0,0,308,178
125.jpg,186,138,2,70,30,256,168
9327.jpg,366,306,2,40,39,406,345
147.jpg,88,64,2,47,34,135,98
106.jpg,153,120,2,0,34,153,154
14632.jpg,478,360,2,278,86,756,446
15280.jpg,417,305,2,123,21,540,326
178.jpg,185,145,2,0,31,185,176
183.jpg,240,320,2,0,0,240,320
195.jpg,280,186,2,0,28,280,214
146.jpg,195,117,2,5,41,200,158
111.jpg,109,111,2,23,5,132,116
15852.jpg,516,320,2,57,16,573,336
15321.jpg,477,450,2,51,0,528,450
135.jpg,148,111,2,17,0,165,111
115.jpg,193,127,2,3,7,196,134
116.jpg,210,181,2,0,3,210,184
128.jpg,640,539,2,0,0,640,539
152.jpg,219,177,2,25,51,244,228
144.jpg,139,106,2,0,24,139,130
118.jpg,169,114,2,0,0,169,114
13728.jpg,364,212,2,88,112,452,324
15320.jpg,281,240,2,231,25,512,265
119.jpg,123,106,2,0,39,123,145
188.jpg,127,108,2,90,61,217,169
11078.jpg,360,308,2,60,22,420,330
13726.jpg,308,162,2,252,190,560,352
161.jpg,210,158,2,0,0,210,158
114.jpg,200,150,2,0,0,200,150
112.jpg,168,165,2,2,80,170,245
169.jpg,204,131,2,6,11,210,142
196.jpg,320,300,2,37,40,357,340
15444.jpg,318,528,2,35,55,353,583
187.jpg,336,297,2,90,22,426,319
104.jpg,298,115,2,25,18,323,133
124.jpg,450,337,2,0,0,450,337
131.jpg,245,181,2,0,19,245,200
11258.jpg,332,300,2,67,49,399,349
11298.jpg,398,322,2,26,33,424,355
10768.jpg,472,342,2,6,15,478,357
145.jpg,618,378,2,16,38,634,416
155.jpg,420,350,2,33,44,453,394
101.jpg,521,465,2,52,0,573,465
182.jpg,211,142,2,0,66,211,208
166.jpg,567,411,2,0,14,567,425
120.jpg,240,180,2,0,0,240,180
193.jpg,583,480,2,57,0,640,480
197.jpg,385,332,2,115,30,500,362
177.jpg,640,480,2,0,0,640,480
16109.jpg,399,628,2,43,12,442,640
162.jpg,213,140,2,0,8,213,148
199.jpg,160,106,2,0,0,160,106
192.jpg,254,190,2,52,30,306,220
11079.jpg,353,331,2,55,12,408,343
170.jpg,396,287,2,0,73,396,360
15245.jpg,543,352,2,42,0,585,352
110.jpg,206,160,2,11,3,217,163
181.jpg,179,141,2,0,159,179,300
151.jpg,334,271,2,45,37,379,308
141.jpg,114,82,2,20,13,134,95
100.jpg,270,227,2,23,0,293,227
143.jpg,454,286,2,0,24,454,310
9236.jpg,269,260,3,100,31,369,291
273.jpg,448,312,3,0,24,448,336
9274.jpg,265,297,3,0,87,265,384
221.jpg,290,165,3,12,37,302,202
244.jpg,384,288,3,0,0,384,288
249.jpg,287,224,3,0,0,287,224
220.jpg,372,302,3,0,34,372,336
248.jpg,350,285,3,0,0,350,285
275.jpg,250,153,3,0,32,250,185
251.jpg,400,300,3,0,0,400,300
206.jpg,640,480,3,0,0,640,480
11057.jpg,369,323,3,64,19,433,342
250.jpg,142,114,3,8,15,150,129
213.jpg,223,177,3,35,17,258,194
276.jpg,284,253,3,0,79,284,332
12656.jpg,200,151,3,40,0,240,151
11056.jpg,363,312,3,66,24,429,336
224.jpg,177,126,3,13,13,190,139
271.jpg,264,237,3,0,115,264,352
240.jpg,220,139,3,0,30,220,169
231.jpg,370,213,3,62,62,432,275
252.jpg,180,141,3,0,0,180,141
296.jpg,572,402,3,0,24,572,426
225.jpg,540,405,3,0,0,540,405
212.jpg,250,161,3,0,75,250,236
283.jpg,460,452,3,0,141,460,593
13790.jpg,440,220,3,45,180,485,400
258.jpg,250,172,3,0,28,250,200
236.jpg,280,210,3,0,0,280,210
10770.jpg,267,372,3,0,50,267,422
222.jpg,294,150,3,6,43,300,193
246.jpg,340,310,3,160,65,500,375
239.jpg,220,139,3,0,24,220,163
284.jpg,297,289,3,89,0,386,289
223.jpg,540,405,3,0,0,540,405
226.jpg,272,222,3,22,10,294,232
216.jpg,378,300,3,22,0,400,300
204.jpg,230,146,3,0,27,230,173
253.jpg,230,156,3,0,32,230,188
15718.jpg,348,343,3,250,90,598,433
13792.jpg,264,160,3,172,220,436,380
12649.jpg,134,226,3,40,44,174,270
279.jpg,320,214,3,0,26,320,240
254.jpg,240,270,3,0,0,240,270
259.jpg,230,199,3,0,17,230,216
292.jpg,300,218,3,8,0,308,218
202.jpg,250,107,3,0,31,250,138
235.jpg,600,226,3,0,0,600,226
297.jpg,300,321,3,0,16,300,337
233.jpg,170,112,3,17,19,187,131
286.jpg,261,238,3,120,34,381,272
219.jpg,321,200,3,17,16,338,216
10772.jpg,429,360,3,13,0,442,360
270.jpg,320,180,3,0,0,320,180
274.jpg,240,230,3,0,68,240,298
264.jpg,178,158,3,62,68,240,226
265.jpg,160,120,3,0,0,160,120
207.jpg,176,121,3,5,5,181,126
210.jpg,320,240,3,0,0,320,240
229.jpg,300,225,3,0,0,300,225
16066.jpg,445,372,3,75,35,520,407
218.jpg,400,344,3,0,136,400,480
243.jpg,116,105,3,84,0,200,105
247.jpg,250,152,3,44,88,294,240
205.jpg,320,240,3,0,0,320,240
9319.jpg,363,296,3,63,25,426,321
217.jpg,240,180,3,0,0,240,180
268.jpg,144,113,3,44,3,188,116
288.jpg,250,265,3,0,0,250,265
228.jpg,304,300,3,0,0,304,300
203.jpg,522,400,3,0,80,522,480
215.jpg,224,122,3,0,49,224,171
